area_code,area_name,tier,case_rate,case_rate_over_60s,growth_rate,positivity_rate,estimated_admissions_rate,estimated_occupancy_rate,score
E07000067,Braintree,Tier 2,122.5,79.6,1,4.6,0.4,4.9,13.882783882783883
E07000068,Brentwood,Tier 2,175.3,144.7,0.7,5.4,1.7,15.1,25.778388278388277
E07000069,Castle Point,Tier 2,173.7,97.9,0.8,6,4.1,32.9,23.26007326007326
E07000070,Chelmsford,Tier 2,103.1,52.1,0.8,4.7,0.2,2.4,9.33150183150183
E07000071,Colchester,Tier 2,68.3,62.8,0.9,2.5,1.1,15.1,8.177655677655677
E07000072,Epping Forest,Tier 2,173.1,143.4,0.8,6.4,1,20.9,26.02564102564103
E07000073,Harlow,Tier 2,221.7,160.9,1.3,7.2,0.2,22.1,32.234432234432234
E07000074,Maldon,Tier 2,60.1,28.4,0.7,2.6,0.3,3.7,3.150183150183149
E07000075,Rochford,Tier 2,122.5,70.1,0.8,5.1,4.6,37.2,16.38278388278388
E07000076,Tendring,Tier 2,64.1,48.1,0.9,2,1.1,15.3,6.419413919413921
E07000077,Uttlesford,Tier 2,81.1,55.5,0.6,3.2,0.1,10,8.159340659340659
E07000078,Cheltenham,Tier 2,115.2,116.5,0.8,4,4.3,24,18.626373626373628
E07000079,Cotswold,Tier 2,36.7,17,0.3,1.7,3.2,19.5,1.5567765567765561
E07000080,Forest of Dean,Tier 2,96.8,47.3,0.7,3.3,4.2,23.8,10.503663003663002
E07000081,Gloucester,Tier 2,185.1,93.5,0.8,5.7,4.3,24.2,23.095238095238095
E07000082,Stroud,Tier 2,96.7,59.8,0.6,3.3,4.2,23.8,11.63003663003663
E07000083,Tewkesbury,Tier 2,113.7,59.6,0.7,4.1,4.1,23.3,13.195970695970697
E07000084,Basingstoke and Deane,Tier 2,88.3,54.1,0.6,3.4,2,24.3,10.192307692307692
E07000085,East Hampshire,Tier 2,94.8,70.9,0.7,2.7,1.9,18.2,11.703296703296703
E07000086,Eastleigh,Tier 2,62.1,44.1,0.6,2.1,1.2,15.1,5.842490842490842
E07000087,Fareham,Tier 2,78.3,60,0.5,3,2.2,21.2,9.505494505494504
E07000088,Gosport,Tier 2,135.6,186.3,0.8,4,2.4,22.4,26.565934065934066
E07000089,Hart,Tier 2,65.9,48.8,0.8,2.7,1.4,14.3,6.63919413919414
E07000090,Havant,Tier 2,132.3,115.7,0.6,4.2,2.3,21.7,19.725274725274726
E07000091,New Forest,Tier 2,46.6,36.8,0.4,1.5,0.5,5.9,2.774725274725274
E07000092,Rushmoor,Tier 2,80.3,32,0.7,2.3,1.3,12,6.153846153846153
E07000093,Test Valley,Tier 2,68.2,51.2,0.6,2.3,1.4,17.6,7.3168498168498175
E07000094,Winchester,Tier 2,80.9,55.8,0.4,2.9,1.9,22.4,9.423076923076923
E07000095,Broxbourne,Tier 2,193.3,123.9,0.9,7.9,0.7,16.5,25.80586080586081
E07000096,Dacorum,Tier 2,102.7,78.2,0.8,4.3,1.7,19.6,13.360805860805863
E07000098,Hertsmere,Tier 2,133.4,84.2,0.8,3.5,1.4,15.3,16.227106227106226
E07000099,North Hertfordshire,Tier 2,90.6,48.5,0.7,3.3,1,8.4,8.342490842490841
E07000102,Three Rivers,Tier 2,136.1,121.9,0.8,4.8,1.9,20.2,20.54029304029304
E07000103,Watford,Tier 2,122.2,93.2,0.7,4.1,1.8,20.9,16.62087912087912
E07000105,Ashford,Tier 3,146.9,89.5,1.2,4.8,2.3,20.6,18.67216117216117
E07000106,Canterbury,Tier 3,231,176,0.9,6.6,2.3,20.7,34.44139194139194
E07000107,Dartford,Tier 3,242.4,161.2,0.8,8.6,4,21,34.48717948717949
E07000108,Dover,Tier 3,324.2,216.4,1.2,8.1,2.3,20.7,46.84065934065934
E07000109,Gravesham,Tier 3,381.5,362.3,1,12.7,4.2,22.5,66.19047619047619
E07000110,Maidstone,Tier 3,317.2,239.8,1.2,9.3,2.6,20.8,48.489010989010985
E07000111,Sevenoaks,Tier 3,119.3,96.7,0.6,5.2,2.8,18.7,16.657509157509157
E07000112,Folkestone and Hythe,Tier 3,193.8,141.2,1,5.3,2.3,20.7,27.73809523809524
E07000113,Swale,Tier 3,557.7,388.4,0.9,13.8,5.7,39.4,86.49267399267401
E07000114,Thanet,Tier 3,465,308.2,0.9,10.1,2.3,21,68.32417582417582
E07000115,Tonbridge and Malling,Tier 3,206.6,120.8,1,7.9,2.6,20.3,27.27106227106227
E07000116,Tunbridge Wells,Tier 3,81.7,50.5,0.6,2.8,2.3,18.4,8.69047619047619
