area_code,area_name,indicator,period,measure,unit,value
E02001286,Hale Barns,People on Universal Credit,2019-04,count,persons,103
E02001259,Old Trafford,People on Universal Credit,2019-05,count,persons,860
E02001260,Trafford Park West & Kingsway Park,People on Universal Credit,2019-05,count,persons,192
E02001261,Gorse Hill,People on Universal Credit,2019-05,count,persons,477
E02001262,Firswood,People on Universal Credit,2019-05,count,persons,396
E02001263,Davyhulme,People on Universal Credit,2019-05,count,persons,110
E02001264,Trafford Park East & Sevenways,People on Universal Credit,2019-05,count,persons,315
E02001265,Flixton & Moorside,People on Universal Credit,2019-05,count,persons,249
E02001266,Lostock & Stretford Meadows,People on Universal Credit,2019-05,count,persons,405
E02001267,Urmston East,People on Universal Credit,2019-05,count,persons,219
E02001268,Urmston West,People on Universal Credit,2019-05,count,persons,107
E02001269,Stretford East,People on Universal Credit,2019-05,count,persons,424
E02001270,Sale North,People on Universal Credit,2019-05,count,persons,188
E02001271,Ashton upon Mersey North,People on Universal Credit,2019-05,count,persons,268
E02001272,Sale East,People on Universal Credit,2019-05,count,persons,139
E02001273,Sale Central,People on Universal Credit,2019-05,count,persons,218
E02001274,Ashton upon Mersey South,People on Universal Credit,2019-05,count,persons,98
E02001275,Partington,People on Universal Credit,2019-05,count,persons,662
E02001276,Sale Moor,People on Universal Credit,2019-05,count,persons,353
E02001277,Broadheath & Firsway,People on Universal Credit,2019-05,count,persons,636
E02001278,West Timperley,People on Universal Credit,2019-05,count,persons,131
E02001279,Timperley North,People on Universal Credit,2019-05,count,persons,76
E02001280,Timperley East,People on Universal Credit,2019-05,count,persons,399
E02001281,Timperley South,People on Universal Credit,2019-05,count,persons,86
E02001282,Altrincham East,People on Universal Credit,2019-05,count,persons,232
E02001283,"Altrincham West, Dunham & Warburton",People on Universal Credit,2019-05,count,persons,174
E02001284,Hale,People on Universal Credit,2019-05,count,persons,75
E02001285,Bowdon,People on Universal Credit,2019-05,count,persons,135
E02001286,Hale Barns,People on Universal Credit,2019-05,count,persons,107
E02001259,Old Trafford,People on Universal Credit,2019-06,count,persons,899
E02001260,Trafford Park West & Kingsway Park,People on Universal Credit,2019-06,count,persons,205
E02001261,Gorse Hill,People on Universal Credit,2019-06,count,persons,492
E02001262,Firswood,People on Universal Credit,2019-06,count,persons,406
E02001263,Davyhulme,People on Universal Credit,2019-06,count,persons,122
E02001264,Trafford Park East & Sevenways,People on Universal Credit,2019-06,count,persons,321
E02001265,Flixton & Moorside,People on Universal Credit,2019-06,count,persons,266
