area_name,area_code,date,place,percent
Greater Manchester,E47000001,2020-03-12,Retail & recreation,-0.01
Greater Manchester,E47000001,2020-03-12,Grocery & pharmacy,0.08
Greater Manchester,E47000001,2020-03-12,Parks,-0.03
Greater Manchester,E47000001,2020-03-12,Transit stations,-0.09
Greater Manchester,E47000001,2020-03-12,Workplaces,-0.01
Greater Manchester,E47000001,2020-03-12,Residential,0.02
Greater Manchester,E47000001,2020-03-13,Retail & recreation,0.01
Greater Manchester,E47000001,2020-03-13,Grocery & pharmacy,0.09
Greater Manchester,E47000001,2020-03-13,Parks,0.07
Greater Manchester,E47000001,2020-03-13,Transit stations,-0.1
Greater Manchester,E47000001,2020-03-13,Workplaces,-0.03
Greater Manchester,E47000001,2020-03-13,Residential,0.02
Greater Manchester,E47000001,2020-03-14,Retail & recreation,-0.09
Greater Manchester,E47000001,2020-03-14,Grocery & pharmacy,0.08
Greater Manchester,E47000001,2020-03-14,Parks,-0.14
Greater Manchester,E47000001,2020-03-14,Transit stations,-0.15
Greater Manchester,E47000001,2020-03-14,Workplaces,-0.02
Greater Manchester,E47000001,2020-03-14,Residential,0.02
Greater Manchester,E47000001,2020-03-15,Retail & recreation,-0.08
Greater Manchester,E47000001,2020-03-15,Grocery & pharmacy,0.08
Greater Manchester,E47000001,2020-03-15,Parks,0
Greater Manchester,E47000001,2020-03-15,Transit stations,-0.16
Greater Manchester,E47000001,2020-03-15,Workplaces,-0.03
Greater Manchester,E47000001,2020-03-15,Residential,0.01
Greater Manchester,E47000001,2020-03-16,Retail & recreation,-0.04
Greater Manchester,E47000001,2020-03-16,Grocery & pharmacy,0.18
Greater Manchester,E47000001,2020-03-16,Parks,0.08
Greater Manchester,E47000001,2020-03-16,Transit stations,-0.19
Greater Manchester,E47000001,2020-03-16,Workplaces,-0.07
Greater Manchester,E47000001,2020-03-16,Residential,0.03
Greater Manchester,E47000001,2020-03-17,Retail & recreation,-0.11
Greater Manchester,E47000001,2020-03-17,Grocery & pharmacy,0.21
Greater Manchester,E47000001,2020-03-17,Parks,-0.02
Greater Manchester,E47000001,2020-03-17,Transit stations,-0.28
Greater Manchester,E47000001,2020-03-17,Workplaces,-0.13
Greater Manchester,E47000001,2020-03-17,Residential,0.06
Greater Manchester,E47000001,2020-03-18,Retail & recreation,-0.21
Greater Manchester,E47000001,2020-03-18,Grocery & pharmacy,0.21
Greater Manchester,E47000001,2020-03-18,Parks,-0.29
Greater Manchester,E47000001,2020-03-18,Transit stations,-0.38
Greater Manchester,E47000001,2020-03-18,Workplaces,-0.22
Greater Manchester,E47000001,2020-03-18,Residential,0.1
Greater Manchester,E47000001,2020-03-19,Retail & recreation,-0.18
Greater Manchester,E47000001,2020-03-19,Grocery & pharmacy,0.25
Greater Manchester,E47000001,2020-03-19,Parks,0.02
Greater Manchester,E47000001,2020-03-19,Transit stations,-0.41
Greater Manchester,E47000001,2020-03-19,Workplaces,-0.26
Greater Manchester,E47000001,2020-03-19,Residential,0.11
Greater Manchester,E47000001,2020-03-20,Retail & recreation,-0.25
Greater Manchester,E47000001,2020-03-20,Grocery & pharmacy,0.09
Greater Manchester,E47000001,2020-03-20,Parks,0.06
Greater Manchester,E47000001,2020-03-20,Transit stations,-0.44
Greater Manchester,E47000001,2020-03-20,Workplaces,-0.28
Greater Manchester,E47000001,2020-03-20,Residential,0.12
Greater Manchester,E47000001,2020-03-21,Retail & recreation,-0.49
Greater Manchester,E47000001,2020-03-21,Grocery & pharmacy,0.01
Greater Manchester,E47000001,2020-03-21,Parks,-0.18
Greater Manchester,E47000001,2020-03-21,Transit stations,-0.53
Greater Manchester,E47000001,2020-03-21,Workplaces,-0.25
Greater Manchester,E47000001,2020-03-21,Residential,0.1
Greater Manchester,E47000001,2020-03-22,Retail & recreation,-0.55
Greater Manchester,E47000001,2020-03-22,Grocery & pharmacy,-0.13
